session_id,user_id,session_date,week_number,device_type,traffic_source,landing_page,signup_completed
S1_00001,U8401,2024-02-09,1,mobile,paid_search,pricing,False
S1_00002,U20,2024-02-10,1,desktop,paid_search,homepage,False
S1_00003,U8791,2024-02-05,1,tablet,organic,product,False
S1_00004,U7628,2024-02-07,1,mobile,paid_search,pricing,False
S1_00005,U7086,2024-02-07,1,mobile,organic,homepage,False
S1_00006,U2559,2024-02-09,1,desktop,paid_search,homepage,True
S1_00007,U4601,2024-02-05,1,desktop,organic,product,False
S1_00008,U8834,2024-02-06,1,desktop,social,product,False
S1_00009,U8351,2024-02-06,1,mobile,paid_search,product,False
S1_00010,U6008,2024-02-10,1,mobile,social,homepage,False
S1_00011,U7506,2024-02-11,1,mobile,social,product,True
S1_00012,U6957,2024-02-08,1,desktop,direct,product,False
S1_00013,U224,2024-02-07,1,mobile,organic,pricing,False
S1_00014,U4429,2024-02-06,1,desktop,organic,homepage,False
S1_00015,U4393,2024-02-07,1,mobile,paid_search,product,False
S1_00016,U9518,2024-02-11,1,mobile,paid_search,product,False
S1_00017,U788,2024-02-09,1,mobile,paid_search,homepage,False
S1_00018,U7495,2024-02-11,1,mobile,direct,pricing,False
S1_00019,U503,2024-02-09,1,desktop,organic,product,False
S1_00020,U3858,2024-02-10,1,desktop,paid_search,homepage,False
S1_00021,U8780,2024-02-09,1,desktop,organic,product,False
S1_00022,U6014,2024-02-09,1,desktop,paid_search,pricing,False
S1_00023,U1743,2024-02-05,1,desktop,organic,product,False
S1_00024,U9282,2024-02-11,1,mobile,organic,product,False
S1_00025,U1140,2024-02-10,1,desktop,organic,homepage,False
S1_00026,U4067,2024-02-05,1,mobile,direct,pricing,False
S1_00027,U4176,2024-02-07,1,mobile,organic,homepage,True
S1_00028,U6564,2024-02-06,1,mobile,organic,pricing,True
S1_00029,U2085,2024-02-06,1,desktop,organic,homepage,False
S1_00030,U1337,2024-02-10,1,desktop,organic,product,False
S1_00031,U2790,2024-02-05,1,desktop,organic,homepage,False
S1_00032,U5910,2024-02-05,1,mobile,organic,pricing,False
S1_00033,U4769,2024-02-09,1,mobile,direct,pricing,False
S1_00034,U5575,2024-02-06,1,mobile,organic,product,False
S1_00035,U5016,2024-02-08,1,mobile,social,product,False
S1_00036,U4413,2024-02-06,1,mobile,paid_search,pricing,False
S1_00037,U8968,2024-02-10,1,mobile,organic,pricing,False
S1_00038,U2287,2024-02-06,1,tablet,paid_search,homepage,False
S1_00039,U2187,2024-02-06,1,mobile,social,homepage,True
S1_00040,U918,2024-02-10,1,desktop,social,product,False
S1_00041,U4221,2024-02-11,1,mobile,organic,homepage,True
S1_00042,U4653,2024-02-05,1,desktop,social,homepage,True
S1_00043,U4202,2024-02-06,1,desktop,social,product,True
S1_00044,U933,2024-02-05,1,desktop,paid_search,product,False
S1_00045,U8303,2024-02-09,1,mobile,direct,homepage,False
S1_00046,U5142,2024-02-09,1,mobile,paid_search,product,False
S1_00047,U8266,2024-02-07,1,desktop,social,pricing,False
S1_00048,U4374,2024-02-06,1,mobile,paid_search,homepage,False
S1_00049,U8211,2024-02-06,1,mobile,organic,product,True
S1_00050,U2933,2024-02-11,1,desktop,organic,homepage,False
S1_00051,U7213,2024-02-11,1,mobile,direct,product,False
S1_00052,U8884,2024-02-10,1,mobile,organic,pricing,False
S1_00053,U4120,2024-02-07,1,desktop,organic,pricing,True
S1_00054,U8786,2024-02-11,1,mobile,paid_search,pricing,True
S1_00055,U5178,2024-02-08,1,mobile,social,pricing,False
S1_00056,U4386,2024-02-06,1,mobile,social,product,False
S1_00057,U992,2024-02-08,1,desktop,social,pricing,False
S1_00058,U5457,2024-02-09,1,mobile,organic,pricing,False
S1_00059,U470,2024-02-10,1,desktop,social,pricing,False
S1_00060,U5499,2024-02-08,1,desktop,organic,homepage,False
S1_00061,U4829,2024-02-07,1,desktop,social,homepage,False
S1_00062,U6855,2024-02-06,1,mobile,direct,pricing,False
S1_00063,U7663,2024-02-10,1,mobile,direct,product,False
S1_00064,U6886,2024-02-07,1,desktop,organic,pricing,False
S1_00065,U8633,2024-02-07,1,mobile,organic,homepage,False
